source,target,edge
A,A,False
A,B,False
A,C,False
A,D,False
A,E,True
A,F,True
A,G,True
A,H,False
A,I,True
A,J,False
A,K,True
A,L,False
A,M,True
A,N,True
A,O,True
A,P,False
A,Q,False
A,R,True
A,S,False
A,T,True
B,A,False
B,B,False
B,C,True
B,D,False
B,E,False
B,F,True
B,G,False
B,H,True
B,I,True
B,J,False
B,K,False
B,L,True
B,M,True
B,N,False
B,O,False
B,P,True
B,Q,False
B,R,True
B,S,False
B,T,False
C,A,False
C,B,True
C,C,False
C,D,True
C,E,False
C,F,True
C,G,True
C,H,True
C,I,True
C,J,False
C,K,False
C,L,True
C,M,False
C,N,False
C,O,True
C,P,True
C,Q,True
C,R,False
C,S,True
C,T,False
D,A,False
D,B,False
D,C,True
D,D,False
D,E,False
D,F,False
D,G,True
D,H,True
D,I,False
D,J,True
D,K,True
D,L,True
D,M,False
D,N,True
D,O,False
D,P,False
D,Q,True
D,R,True
D,S,True
D,T,False
E,A,True
E,B,False
E,C,False
E,D,False
E,E,False
E,F,False
E,G,True
E,H,False
E,I,True
E,J,False
E,K,False
E,L,True
E,M,True
E,N,True
E,O,True
E,P,False
E,Q,True
E,R,True
E,S,True
E,T,True
F,A,True
F,B,True
F,C,True
F,D,False
F,E,False
F,F,False
F,G,True
F,H,False
F,I,True
F,J,True
F,K,True
F,L,True
F,M,True
F,N,False
F,O,True
F,P,True
F,Q,True
F,R,False
F,S,False
F,T,True
G,A,True
G,B,False
G,C,True
G,D,True
G,E,True
G,F,True
G,G,False
G,H,False
G,I,True
G,J,False
G,K,False
G,L,True
G,M,True
G,N,True
G,O,True
G,P,True
G,Q,False
G,R,True
G,S,False
G,T,False
H,A,False
H,B,True
H,C,True
H,D,True
H,E,False
H,F,False
H,G,False
H,H,False
H,I,True
H,J,False
H,K,True
H,L,True
H,M,False
H,N,False
H,O,True
H,P,True
H,Q,True
H,R,True
H,S,True
H,T,False
I,A,True
I,B,True
I,C,True
I,D,False
I,E,True
I,F,True
I,G,True
I,H,True
I,I,False
I,J,False
I,K,False
I,L,False
I,M,True
I,N,False
I,O,False
I,P,True
I,Q,False
I,R,True
I,S,True
I,T,False
J,A,False
J,B,False
J,C,False
J,D,True
J,E,False
J,F,True
J,G,False
J,H,False
J,I,False
J,J,False
J,K,False
J,L,False
J,M,True
J,N,True
J,O,False
J,P,True
J,Q,True
J,R,True
J,S,True
J,T,True
K,A,True
K,B,False
K,C,False
K,D,True
K,E,False
K,F,True
K,G,False
K,H,True
K,I,False
K,J,False
K,K,False
K,L,True
K,M,False
K,N,False
K,O,False
K,P,False
K,Q,False
K,R,True
K,S,False
K,T,False
L,A,False
L,B,True
L,C,True
L,D,True
L,E,True
L,F,True
L,G,True
L,H,True
L,I,False
L,J,False
L,K,True
L,L,False
L,M,True
L,N,False
L,O,False
L,P,False
L,Q,False
L,R,False
L,S,True
L,T,False
M,A,True
M,B,True
M,C,False
M,D,False
M,E,True
M,F,True
M,G,True
M,H,False
M,I,True
M,J,True
M,K,False
M,L,True
M,M,False
M,N,True
M,O,False
M,P,True
M,Q,True
M,R,False
M,S,True
M,T,False
N,A,True
N,B,False
N,C,False
N,D,True
N,E,True
N,F,False
N,G,True
N,H,False
N,I,False
N,J,True
N,K,False
N,L,False
N,M,True
N,N,False
N,O,True
N,P,True
N,Q,True
N,R,False
N,S,False
N,T,False
O,A,True
O,B,False
O,C,True
O,D,False
O,E,True
O,F,True
O,G,True
O,H,True
O,I,False
O,J,False
O,K,False
O,L,False
O,M,False
O,N,True
O,O,False
O,P,True
O,Q,True
O,R,True
O,S,True
O,T,False
P,A,False
P,B,True
P,C,True
P,D,False
P,E,False
P,F,True
P,G,True
P,H,True
P,I,True
P,J,True
P,K,False
P,L,False
P,M,True
P,N,True
P,O,True
P,P,False
P,Q,False
P,R,False
P,S,False
P,T,False
Q,A,False
Q,B,False
Q,C,True
Q,D,True
Q,E,True
Q,F,True
Q,G,False
Q,H,True
Q,I,False
Q,J,True
Q,K,False
Q,L,False
Q,M,True
Q,N,True
Q,O,True
Q,P,False
Q,Q,False
Q,R,False
Q,S,True
Q,T,False
R,A,True
R,B,True
R,C,False
R,D,True
R,E,True
R,F,False
R,G,True
R,H,True
R,I,True
R,J,True
R,K,True
R,L,False
R,M,False
R,N,False
R,O,True
R,P,False
R,Q,False
R,R,False
R,S,False
R,T,False
S,A,False
S,B,False
S,C,True
S,D,True
S,E,True
S,F,False
S,G,False
S,H,True
S,I,True
S,J,True
S,K,False
S,L,True
S,M,True
S,N,False
S,O,True
S,P,False
S,Q,True
S,R,False
S,S,False
S,T,False
T,A,True
T,B,False
T,C,False
T,D,False
T,E,True
T,F,True
T,G,False
T,H,False
T,I,False
T,J,True
T,K,False
T,L,False
T,M,False
T,N,False
T,O,False
T,P,False
T,Q,False
T,R,False
T,S,False
T,T,False
